record_id,Buyer.County of Origin,Buyer.Full Name,Buyer.Origin,Buyer.State of Origin,Seller.County of Origin,Seller.Full Name,Seller.Origin,Seller.State of Origin,Slave.Age,Slave.Gender,Slave.Name,Slave.Skin Color,Transaction.Date,Transaction.Number of Adult Slaves,Transaction.Number of Child Slaves,Transaction.Number of Total Slaves Purchased,Transaction.Sale Details.Discount Rate,Transaction.Sale Details.Payment Method,Transaction.Sale Details.Predicted Interest Rate,Transaction.Sale Details.Price,Transaction.Sale Details.Prices Listed
1,Unknown,Maria Hopson,"Unknown, Unknown",Unknown,Unknown,Benjamin Screws,"Unknown, AL",AL,40,M,Shadrack,Unknown,10/6/1856,1,0,1,0.00602698,Cash,0.07477,650,1
2,New Orleans,Peyton N. Reynolds,"New Orleans, LA",LA,New Orleans,Santiago Galseran,"New Orleans, LA",LA,44,F,Jane,Negro,10/7/1856,1,0,1,0.00602698,Cash,0.07477,550,1
3,New Orleans,Heloise Bagneris,"New Orleans, LA",LA,New Orleans,Pierre Macou,"New Orleans, LA",LA,24,F,Helen,Negro,10/1/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
4,Jefferson,Francis Dugue Jr.,"Jefferson, LA",LA,Vanzand,Benjamin Franklin Irby,"Vanzand, TX",TX,23,M,Jeff,Negro,10/8/1856,1,0,1,0.00602698,Cash,0.07477,1400,1
5,New Orleans,Anthony O'Dowd,"New Orleans, LA",LA,New Orleans,Richard Condon,"New Orleans, LA",LA,12,M,John,Negro,10/8/1856,1,0,1,0.00602698,Cash,0.07477,700,1
6,New Orleans,Polly Courcelle,"New Orleans, LA",LA,New Orleans,Laurent Roger,"New Orleans, LA",LA,25,F,Louise,Mulatto,10/6/1856,1,2,3,0.00602698,Cash,0.07477,600,1
7,New Orleans,Henry T. Lownsdale,"New Orleans, LA",LA,New Orleans,Rosslynne Cumming Vass,"New Orleans, LA",LA,23,F,Maria,Mulatto,10/4/1856,1,0,1,0.00602698,Cash,0.07477,1650,1
8,New Orleans,Harriett Falkner,"New Orleans, LA",LA,New Orleans,Polly Reason,"New Orleans, LA",LA,50,M,Frederick,Negro,10/20/1856,2,0,2,0.005790818,Cash and Credit,0.07174632,1200,1
9,New Orleans,Jacob Van Winckle,"New Orleans, LA",LA,New Orleans,Archibald Lilly,"New Orleans, LA",LA,20,M,Henry/ Ephraim,Negro,11/8/1856,1,0,1,0.00602698,Cash,0.07477,1225,1
10,Terrebonne,Francis Olmay Tompkins,"Terrebonne, LA",LA,Unknown,George R. Dent,"Unknown, Unknown",Unknown,26,M,Henry,Griff,11/8/1856,1,0,1,0.00602698,Cash,0.07477,1100,1
11,New Orleans,Virginius H. Rhodes,"New Orleans, LA",LA,Smith,Almazen Huston,"Smith, TX",TX,38,M,Nelson,Negro,11/7/1856,1,0,1,0.006114795,Credit,0.07589632,950,1
12,New Orleans,Benjamin William Hebrard,"New Orleans, LA",LA,Jefferson,Theodore Soniat Dufossat,"Jefferson, LA",LA,35,M,James,Negro,10/5/1856,1,0,1,0.005952163,Cash and Credit,0.07381124,1005,1
13,New Orleans,The New Orleans Gas Light Co. Unknown,"New Orleans, LA",LA,New Orleans,Charles Anthony Miltenberger,"New Orleans, LA",LA,28,M,Reuben,Negro,11/11/1856,1,0,1,0.00602698,Cash,0.07477,1250,1
14,New Orleans,Cephise Piseros,"New Orleans, LA",LA,Pointe Coupee,Lennon Ledoux,"Pointe Coupee, LA",LA,21,M,Pierre,Negro,11/10/1856,1,0,1,0.00602698,Cash,0.07477,1425,1
15,New Orleans,Louis Joseph Frigerio,"New Orleans, LA",LA,New Orleans,Cydalise Fortier,"New Orleans, LA",LA,19,M,Henry,Mulatto,11/10/1856,1,0,1,0.00602698,Cash,0.07477,1000,1
16,New Orleans,Richard Scofield,"New Orleans, LA",LA,New Orleans,Eliza Ashton,"New Orleans, LA",LA,33,F,Ellen,Negro,11/6/1856,1,2,3,0.00602698,Cash,0.07477,1200,1
17,Terrebonne,Francis Olmay Tompkins,"Terrebonne, LA",LA,Richmond,Jeremiah Smith,"Richmond, VA",VA,25,M,William,Negro,11/12/1856,3,0,3,0.00602698,Cash,0.07477,1400,3
18,New Orleans,Micajah Harris Jr.,"New Orleans, LA",LA,Cass,Lafayette L. Guin,"Cass, TX",TX,33,M,Lewis,Negro,11/12/1856,2,0,2,0.00602698,Cash,0.07477,1500,1
